ID	Command (Tiếng Việt)	Command (Tiếng Anh)	Command (Tiếng Pháp)	Command (German)	Ghi chú 
	Kéo rèm cửa sổ trời ra một chút		Peux-tu ouvrir un peu plus le rideau de toit ouvrant?		
	Kéo rèm cửa sổ trời ra một chút		Ouvre un peu le rideau de toit ouvrant		
	Mở rèm cửa sổ trời một chút nữa 		Ouvre le rideau de toit ouvrant un peu plus		
	Kéo rèm cửa sổ trời xuống một chút nữa		Pouvez-vous ouvrir un peu plus le rideau de toit ouvrant?		
	Kéo rèm cửa sổ trời ra một chút nữa		Pouvez-vous ouvrir un peu plus le rideau de toit ouvrant pour moi?		
	Mở tấm che cửa số trời một chút nữa		Ouvre un peu le rideau de toit ouvrant s'il te plait		
148	Bật đèn pha tự động | bật đèn chiếu xa tự động	Turn on auto high beam	Activer les feux de route automatiques/ Allumer les feux de route automatiques	Schalte den Scheinwerfer ein	
	Bật đèn pha tự động	Turn on auto high beam 	Activez les feux de route automatiques	Schalte den automatischen Scheinwerfer ein	
	Bật đèn chiếu xa tự động	Can you please turn on auto high beam 	Pouvez-vous allumer les feux de route automatiques?	Mach den automatischen Scheinwerfer an	
	Đèn pha tự động bật lên	Switch the auto high beam on 	Allumez les feux de route automatiques	Kannst du den automatischen Scheinwerfer einschalten?	
	Đèn chiếu xa tự động bật lên	Auto high beam on 	Je veux activer les feux de route automatiques	Kannst du den automatischen Scheinwerfer anmachen?	
	Mở đèn pha tự động	Start the auto high beam 	Active les feux de route automatiques	Aktiver den automatischen Scheinwerfer	
	Mở đèn chiếu xa tự động	I want to turn on auto high beam 	Peux-tu allumer les feux de route automatiques?		
	Đèn pha tự động Mở lên		Allume les feux de route automatiques		
	Đèn chiếu xa tự động Mở lên		Peux-tu activer les feux de route automatiques?		
	Khởi động đèn pha lên		Allume les feux de route automatiques pour moi		
	Khởi động đèn pha chiếu xa tự động		Allume les feux de route automatiques tout de suite		
149	Tắt đèn pha tự động | tắt đèn chiếu xa tự động	Turn off auto high beam	Désactiver les feux de route automatiques	Schalte den automatischen Scheinwerfer aus	
	Tắt đèn pha tự động	Turn off auto high beam 	Désactivez les feux de route automatiques	Schalte den automatischen Scheinwerfer aus	
	Tắt đèn chiếu xa tự động	Can you please turn off auto high beam 	Pouvez-vous éteindre les feux de route automatiques	Mach den automatischen Scheinwerfer aus	
	Đèn pha tự động tắt đi	Switch the auto high beam off	Éteignez les feux de route automatiques	Deaktiver den automatischen Scheinwerfer	
	Đèn chiếu xa tự động tắt đi	Auto high beam off	Arrêtez les feux de route automatiques		
	Ẩn đèn pha tự động	Stop the auto high beam 	Je veux désactiver les feux de route automatiques		
	Ẩn đèn chiếu xa tự động	I want to turn off auto high beam 	Désactive les feux de route automatiques		
	Đèn pha tự động tắt đi		Peux-tu éteindre les feux de route automatiques?		
	Đèn chiếu xa tự động tắt đi		Éteins les feux de route automatiques		
	Bỏ bật đèn pha tự động		Arrête les feux de route automatiques		
	Bỏ bật đèn chiếu xa tự động		Peux-tu désactiver les feux de route automatiques?		
150	Tăng ánh sáng trong xe | Tăng ánh sáng trong xe một chút |Tăng ánh sáng trong xe một chút nữa	Increase ambient light brightness	 Ajuster la luminosité de l'écran/ Augmenter la lumière ambiante	Erhöhe die Helligkeit der Innenraumbeleuchtung	
	Tăng ánh sáng trong xe	Increase ambient light brightness	Augmentez la luminosité de la lumière ambiante	Erhöhe die Helligkeit der Innenraumbeleuchtung	
	Tăng ánh sáng trong xe một chút	Make ambient light abit brighter 	Augmentez la luminosité de la lumière d'ambiance	Ich möchte die Helligkeit der Innenraumbeleuchtung erhöhen	
	Tăng ánh sáng trong xe một nữa	I want the ambient light brighter 	Rendez la lumière ambiante un peu plus claire		
	Ánh sáng trong xe tăng lên	Turn up ambient light brightness 	Augmentez la lumière d'ambiance		
	Ánh sáng trong xe tăng lên một tí nữa	I need some more ambient light 	Je veux plus de lumière d'ambiance		
	Ánh sáng trong xe tăng lên một tẹo nữa	Can you please make the ambient light brighter 	Augmente la luminosité de la lumière ambiante		
	Ánh sáng ở trong xe tăng lên	Please turn up ambient light brightness 	Augmente la luminosité de la lumière d'ambiance		
	Ánh sáng ở bên trong xe tăng lên tí tẹo		Rende la lumière ambiante un peu plus claire		
	Tăng ánh sáng ở bên trong xe		Augmente la lumière d'ambiance		
	Tăng ánh sáng bên trong xe ô tô lên chút xíu		Pouvez-vous augmenter la lumière d'ambiance?		
151	Giảm ánh sáng trong xe | Giảm ánh sáng trong xe một chút |Giảm ánh sáng trong xe một chút nữa	Decrease ambient light brightness	 Ajuster la luminosité de l'écran/ Diminuer la lumière ambiante	Verringere die Helligkeit der Innenraumbeleuchtung	
	giảm ánh sáng trong xe	Decrease ambient light brightness	Diminuez la luminosité de la lumière ambiante	Verringere die Helligkeit der Innenraumbeleuchtung	
	giảm ánh sáng trong xe một chút	Make ambient light abit darker 	Diminuez la luminosité de la lumière d'ambiance	Senk die Helligkeit der Innenraumbeleuchtung	
	giảm ánh sáng trong xe một nữa	I want the ambient light darker 	Rendez la lumière ambiante un peu plus sombre		
	Ánh sáng trong xe giảm lên	Turn down ambient light brightness 	Baissez la luminosité de la lumière ambiante		
	Ánh sáng trong xe giảm lên một tí nữa	I need less ambient light 	Je veux moins de lumière d'ambiance		
	Ánh sáng trong xe giảm lên một tẹo nữa	Can you please make the ambient light darker 	Diminuez la lumière d'ambiance		
	Ánh sáng ở trong xe giảm lên	Please turn down ambient light brightness 	Diminue la lumière ambiante		
	Ánh sáng ở bên trong xe giảm lên tí tẹo		Diminue la lumière d'ambiance		
	giảm ánh sáng ở bên trong xe		Rends la lumière ambiante un peu plus sombre		
	giảm ánh sáng bên trong xe ô tô lên chút xíu		Pouvez-vous baisser la luminosité de la lumière ambiante?		
152	Bật ánh sáng trong xe | Bật đèn nội thất	Turn on ambient light | ambient light on	Allumer la lumière ambiante | Allumer la lumière d'ambiance 	Schalte das Innenlicht ein	
	Bật ánh sáng trong xe	Turn on ambient light   	Veuillez allumer la lumière d'ambiance dans la voiture	Schalte das Innenlicht ein	
	Mở ánh sáng trong xe	Please turn on the light in the car 	Allumez la lumière ambiante 	Mach das Innenlicht an	
	Bật ánh sáng bên trong xe	Ambient light on 	Allumez la lumière d'ambiance	Kannst du das Innenlicht einschalten	
	Bật đèn nội thất	Can you switch on ambient light 	Pouvez-vous allumer la lumière d'ambiance?	Kannst du das Innenlicht anmachen	
	Ánh sáng trong xe bật lên	I want the ambient light on 	Allumez la lumière ambiante maintenant	Ich möchte das Innenlicht einschalten	
	Ánh sáng trong xe mở lên	Turn on the ambient light right now 	Allume la lumière ambiante 	Ich möchte das Innenlicht anmachen	
	Ánh sáng nội thất bật lên		Allume la lumière d'ambiance		
	Ánh sáng ở bên trong xe bật lên giúp tớ		Peux-tu allumer la lumière d'ambiance?		
	Bật ánh sáng ở bên trong xe		Allume la lumière ambiante maintenant		
	Bật ánh sáng bên trong xe ô tô lên chút xíu		Allume la lumière ambiante un peu plus		
153	Tắt ánh sáng trong xe | Tắt đèn nội thất	Turn off ambient light | ambient light off	Éteindre la lumière ambiante | Éteindre la lumière d'ambiance 	Schalte das Innenlicht aus	
	Tắt ánh sáng trong xe	Turn off ambient light   	Veuillez éteindre la lumière d'ambiance dans la voiture	Schalte das Innenlicht aus	
	Tắt đèn nội thất	Please turn off the light in the car 	Éteignez la lumière ambiante 	Mach das Innenlicht aus	
	Tắt đèn chiếu sáng trong xe	Ambient light off 	Éteignez la lumière ambiante	Kannst du das Innenlicht ausschalten	
	Tắt đèn chiếu sáng bên trong xe	Can you switch off ambient light 	Pouvez-vous éteindre la lumière d'ambiance	Kannst du das Innenlicht ausmachen	
	Tắt đèn nội thất giúp tớ	I want the ambient light off	Éteignez la lumière ambiante maintenant	Ich möchte das Innenlicht ausschalten	
	Đèn nội thất tắt đi	Turn off the ambient light right now 	Éteins la lumière ambiante 	Ich möchte das Innenlicht ausmachen	
	Ánh sáng trong xe tắt đi	Shut down the ambient light 	Je veux éteindre la lumière ambiante		
	Ánh sáng bên trong xe tắt đi		Peux-tu éteindre la lumière d'ambiance?		
	Tắt đèn nội thất bên trong xe đi		Éteignez la lumière ambiante pour moi		
	Đèn nội thất bên trong xe tắt ngay đi		Éteins la lumière ambiante pour moi		
154	Chế độ lái xanh | chế độ lái eco | chế độ lái thân thiện môi trường	Drive mode Eco	Mode de conduite Eco	Eco-Modus	
	Chế độ lái xanh	Drive eco mode 	Activez le mode de conduite Eco	Aktivier den Eco-Modus	
	Chế độ lái eco	Turn on Drive eco mode 	Allumez le mode conduite Eco	Ich möchte den Eco-Modus	
	Chế độ lái thân thiện môi trường	Green drive mode 	Je veux le mode Eco	Ich brauche den Eco-Modus	
	Chế độ lái tiết kiệm Eco Mode	Switch on drive eco mode 	Passez en mode Eco maintenant	Starte den Eco-Modus	
	Chế độ lái Eco	Drive mode eco 	Démarrez le mode de conduite Eco	Fahr im Eco-Modus	
	Bật chế độ lái xanh	Turn on green mode 	Active le mode de conduite Eco		
	Mở chế độ lái xanh	Turn on environment-friendly mode 	Allume le mode conduite Eco		
	Bật chế độ lái thân thiện môi trường	Turn on energy saving mode 	Je veux activer le mode Eco		
	Bật chế độ lái tiết kiệm nhiên liệu	Eco mode 	Pouvez-vous passer en mode Eco maintenant?		
	Chế độ lái xe tiết kiệm nhiên liệu	I want to save my energy. Turn on eco mode	Pouvez-vous démarrer le mode de conduite Eco?		
	Chế độ lái Eco	Drive eco   	Je veux démarrer le mode de conduite Eco		
155	Chế độ lái thoải mái | chế độ lái comfort	Drive mode Comfort	Mode de conduite Confort	Komfort - Modus	
	Chế độ lái thoải mái	Drive mode comfort 	Activez le mode de conduite Confort	Aktivier den Komfort-Modus	
	Chế độ lái comfort	Drive comfort mode 	Allumez le mode Confort	Ich möchte den Komfort-Modus	
	Chế độ comfort	Turn on drive comfort mode 	Je veux le mode Confort	Starte den Komfort-Modus	
	Chế độ lái xe thoải mái	I want comfort mode 	Passez en mode Confort maintenant	Ich brauche den Komfort-Modus	
	Bật chế độ comfort	Switch to comfort mode now 	Démarrez le mode de conduite Confort	Fahr im Komfort - Modus	
	Mở chế độ lái thoải mái	Set drive comfort mode 	Active le mode de conduite Confort		
	Mở chế độ lái comfort	Start drive mode comfort 	Allume le mode Confort		
	Mở chế độ comfort	Comfort mode 	Je veux activer le mode Confort		
	Chế độ comfort mở lên đi	Drive comfort  	Pouvez-vous passer en mode Confort maintenant?		
	Chế độ comfort bật lên đi		Pouvez-vous démarrer le mode de conduite Confort?		
156	Chế độ lái thể thao | chế độ lái sport	Drive mode Sport	Mode de conduite Sport	Sport - Modus	
	Chế độ lái thể thao	Drive mode Sport 	Activez le mode de conduite Sport	Aktivier den Sport-Modus	
	Chế độ lái sport	Drive Sport mode 	Allumez le mode conduite sport	Ich möchte den Sport-Modus	
	Mở chế độ lái thể thao	Turn on drive sport mode 	Je veux le mode Sport	Starte den Sport-Modus	
	Bật chế độ lái thể thao	I want sport mode 	Passez en mode de conduite Sport maintenant	Ich brauche den Sport-Modus	
	Khởi động chế độ lái thể thao	Switch to sport mode now 	Démarrez le mode de conduite Sport	Fahr im Sport-Modus	
	Chạy chế độ lái thể thao	Set drive sport mode 	Active le mode de conduite Sport		
	Chế độ sport mở lên đi	Start drive mode sport 	Allume le mode conduite sport		
	Chế độ sport bật lên đi	Sport mode 	Pouvez-vous activer le mode Sport?		
	Lái sport	Drive Sport  	Pouvez-vous passer en mode de conduite Sport maintenant?		
	Chế độ sport		Pouvez-vous démarrer le mode de conduite Sport?		
157	Bật màn hình phía trước vô lăng | bật màn hình trong suốt ở kính trước	Turn HUD on | HUD on | Turn on HUD	Activer le HUD | Ouvrir HUD  | Afficher le HUD	Aktivier das HUD	
	Bật màn hình phía trước vô lăng	Turn HUD on  	Activez le HUD	Aktivier das HUD	
	Bật màn hình trong suốt ở kính trước	HUD on 	Ouvrez HUD 	Öffne das HUD	
	Mở màn hình phía trước vô lăng	Turn on the automotive head-up displays	Allumez l'affichage tête haute HUD	Starte das HUD	
	Mở màn hình trong suốt ở kính trước	Turn on HUD  	Activez l'affichage tête haute HUD	Zeig mir das HUD	
	Truy cập màn hình phía trước vô lăng	I want to access to head-up displays 	Je veux afficher le HUD	Schalte das HUD ein	
	Truy cập màn hình trong suốt ở kính trước	Start the head-up displays 	Active le HUD		
	Khởi động màn hình phía trước vô lăng	Start the transperant projection on the windshield 	Ouvre HUD 		
	Khởi động màn hình trong suốt ở kính trước	Open head-up displays 	Allume l'affichage tête haute HUD		
	Màn hình phía trước vô lăng bật lên		Active l'affichage tête haute HUD		
	Màn hình trong suốt ở kính trước bật lên		Pouvez-vous afficher HUD?		
158	Tắt màn hình phía trước vô lăng | Tắt màn hình trong suốt ở kính trước	Turn HUD off | HUD off | Turn off HUD	Désactiver le HUD | Fermer HUD  | Annuler le HUD	Deaktivier das HUD	
	Tắt màn hình phía trước vô lăng	Turn HUD off  	Désactivez le HUD	Deaktivier das HUD	
	Tắt màn hình trong suốt ở kính trước	HUD off	Fermez HUD 	Schließ das HUD	
	Dừng màn hình phía trước vô lăng	Turn off the automotive head-up displays	Éteignez l'affichage tête haute HUD	Stopp das HUD	
	Dừng màn hình trong suốt ở kính trước	Turn off HUD  	Fermez l'affichage tête haute HUD	Schalte das HUD aus	
	Ngưng mở màn hình phía trước vô lăng	I want to stop head-up displays 	Je veux arrêter l'affichage tête haute HUD		
	Ngưng mở màn hình trong suốt ở kính trước	Close the head-up displays 	Désactive le HUD		
	Ngừng mở màn hình phía trước vô lăng	Stop the transperant projection on the windshield 	Ferme HUD 		
	Ngừng mở màn hình trong suốt ở kính trước		Éteins l'affichage tête haute HUD		
	Màn hình phía trước vô lăng Tắt đi		Ferme l'affichage tête haute HUD		
	Màn hình trong suốt ở kính trước Tắt đi		Pouvez-vous arrêter HUD?		
159	Đặt đèn trần tự động | đèn trần tự động	Set dome lights to automatic	Régler les plafonniers sur automatique/Gérer automatiquement du processus d’allumage du plafonnier.	Schalte automatische Leselampe ein/ Aktivier automatische Leselampe	
	Đặt đèn trần tự động	Set dome lights to automatic 	Mettez les plafonniers sur automatique	Schalte automatische Leselampe ein	
	Để đèn trần tự động	Automatic dome lights 	Activez le processus automatique du plafonnier	Aktivier automatische Leselampe	
	Đèn trần tự động	Turn on dome light automatic 	Allumez le plafonnier automatique	Mach automatische Leselampe an	
	Bật đèn trần tự động	Open dome lights automatic 	Allumez les plafonniers automatiques		
	Mở đèn tự động	Switch on dome lights automatic now 	Mette les plafonniers sur automatique		
	Đèn trần tự động bật lên	Dome lights work automatically 	Active le processus automatique du plafonnier		
	Phát sáng đèn trần tự động		Allume les plafonniers automatiques		
	Chiếu sáng đèn trần tự động		Pouvez-vous activer le processus automatique du plafonnier?		
	Đèn trần tự động sáng lên		Pouvez-vous allumer les plafonniers automatiques?		
160	Mở màn hình wifi	Show wifi | Open wifi	Afficher le wifi | Ouvrir wifi	Schalte WLAN ein /Aktivier WLAN/ Zeig mir WLAN	
	Wifi	Wifi 	Je veux voir la connexion wifi	WLAN	
	Mở wifi	Show wifi   	Affichez Wifi	Zeig mir WLAN	
	Mở màn hình wifi	Open wifi 	Ouvrez Wifi	Aktivier WLAN	
	Bật màn hình wifi	Turn on wifi screen 	Activez l'écran Wifi	Schalte WLAN ein	
	Truy cập màn hình wifi	Access to wifi screen 	Je veux me connecter au Wifi	Zugriff aufs Internet	
	Màn hình thiết lập wifi	I want to connect with wifi 	Allumez Wifi	Ich brauche WLAN	
	Màn hình cài đặt wifi mở lên	I want to see wifi connection	Affiche Wifi		
	Mở màn hình kết nối wifi	Connect with wifi now 	Ouvre Wifi		
	Màn hình kết nối wifi bật lên		Active l'écran Wifi		
	Màn hình cài đặt wifi bật ngay lên		Pouvez-vous afficher Wifi?		
161	Tắt màn hình wifi	Close wifi	Fermer le wifi	Schalte WLAN aus/ Deaktiver WLAN	
	Tắt màn hình wifi	Stop wifi   	Arrêtez le wifi	Schalte WLAN aus	
	Ẩn màn hình wifi	Close wifi 	Fermez le wifi	Deaktiver WLAN	
	Đóng màn hình wifi	Turn off wifi screen 	Éteignez l'écran wifi	Ich brauche WLAN nicht mehr	
	Màn hình wifi ẩn đi	Stop wifi screen 	Arrêtez l'écran wifi	Unterbrich WLAN 	
	Màn hình wifi tắt đi	I want to disconnect with wifi 	Je veux me déconnecter avec le wifi		
	Màn hình wifi ẩn đi	I want to shut down wifi connection	Je veux arrêter la connexion wifi		
	Màn hình cài đặt wifi tắt đi	I don't need wifi anymore 	Arrête le wifi		
	Màn hình kết nối wifi đóng đi		Ferme le wifi		
	Đóng màn hình kết nối wifi đi		Éteins l'écran wifi		
	Đóng màn hình kết nối wifi đi		Pouvez-vous arrêter la connexion wifi?		
162	Bluetooth | mở bluetooth | mở màn hình bluetooth	Open bluetooth	Ouvrir Bluetooth/ Afficher la connexion Bluetooth	Aktivier Bluetooth	
	Bluetooth	Bluetooth 	Ouvrez Bluetooth	Bluetooth	
	Mở bluetooth	Open bluetooth	Affichez la connexion Bluetooth	Aktivier Bluetooth	
	Mở màn hình bluetooth	Turn on bluetooth 	Activez le Bluetooth	Nutze Bluetooth	
	Bật màn hình bluetooth	Access to bluetooth 	Afficher l'écran Bluetooth	Schalte Bluetooth ein	
	Truy cập màn hình bluetooth	I want to use bluetooth 	Je veux utiliser Bluetooth	Ich möchte Bluetooth	
	Màn hình thiết lập bluetooth	Show bluetooth connection 	Affichez la connexion Bluetooth	Ich brauche Bluetooth	
	Màn hình cài đặt bluetooth mở lên	Connect with bluetooth 	Ouvre Bluetooth		
	Mở màn hình kết nối bluetooth		Affiche la connexion Bluetooth		
	Màn hình kết nối bluetooth bật lên		Active le Bluetooth		
	Màn hình cài đặt bluetooth bật ngay lên		Pouvez-vous afficher Bluetooth?		
163	Tắt màn hình bluetooth	Close bluetooth	Fermer Bluetooth	Deaktivier Bluetooth	
	Tắt màn hình bluetooth	Stop luetooth 	Arrêtez Bluetooth	Stopp Bluetooth	
	Đóng màn hình buetooth	Close bluetooth	Fermez Bluetooth	Deaktivier Bluetooth	
	Ẩn màn hình bluetooth	Turn off bluetooth 	Désactivez le Bluetooth	Unterbrich Bluetooth-Verbindung 	
	Màn hình bluetooth ẩn đi	Stop accessing to bluetooth 	Arrêtez d'accéder à Bluetooth	Schalte Bluetooth aus	
	Màn hình bluetooth tắt đi	I don't want bluetooth anymore	Je ne veux plus de bluetooth	Ich brauche Bluetooth nicht mehr	
	Màn hình bluetooth ẩn đi	Shut down bluetooth connection 	Arrêtez la connexion Bluetooth		
	Màn hình cài đặt bluetooth tắt đi	Disconnect with bluetooth 	Déconnectez avec Bluetooth		
	Màn hình kết nối bluetooth đóng đi				
	Đóng màn hình kết nối bluetooth đi				
	Đóng màn hình kết nối bluetooth đi				
164	Mở cửa sổ trời X %	Open sunroof X%	Ouvrir le toit ouvrant à X%/ Ouvrir le toit ouvrant à X%	Öffne das Schiebedach um X %	
	Mở cửa sổ trời 10%	Open sunroof 10%	Ouvrez le toit ouvrant à 10%	Öffne das Schiebedach 10%	
	Mở cửa sổ trời 50%	Open sunroof 50%	Ouvrez le toit ouvrant à 50%	Öffne das Schiebedach 50%	
	Mở cửa sổ trời vào thêm 70% đi xem	Open sunroof 70% 	Ouvrez 70% du toit ouvrant	Ich möchte das Schiebedach 70% öffnen	
	Mở cửa sổ trời 75% vào đi	Can you leave the sunroof open 75%	Ouvrez le toit ouvrant 75%	Kannst du das Schiebedach öffnen	
	Mở cửa sổ trời vào 90% cho tôi	Open sunroof  90%	Pouvez-vous ouvrir le toit ouvrant  à 90%	Öffne das Schiebedach 90%	
	Mở cửa sổ trời vào 100% cho tôi luôn giờ nhé	Open sunroof 100%  	Veuillez ouvrir tout le toit ouvrant 	Öffne das Schiebedach 100%	
	Mở cửa sổ trời 0% đi	Open sunroof 0%	Ouvrez le toit ouvrant à 10%	Öffne das Schiebedach 0%	
	Giúp tôi mở cửa sổ trời vào 37%	Please open sunroof 37%	Ouvrez le toit ouvrant à 37%	Öffne das Schiebedach 37%	
	Cửa sổ trời mở tầm 25%	Sunroof 25%	Ouvrez le toit ouvrant  à 25%	Öffne das Schiebedach 25%	
	Cửa sổ trời mở khoảng 18% giúp mình	Open sunroof about 18% 	Ouvrez le toit ouvrant environ 18%	Öffne das Schiebedach circa 18%	
165	Đóng cửa sổ trời X %	Close sunroof X%	Fermer le toit ouvrant à X%/ Fermer le toit ouvrant à X%	Schließe das Schiebedach X %	
	Đóng cửa sổ trời 10%	Close sunroof 10% 	Fermez le toit ouvrant à 10%	Schließe das Schiebedach 10%	
	Đóng cửa sổ trời 50%	Close sunroof 50%	Fermez le toit ouvrant à 50%	Schließe das Schiebedach 50%	
	Đóng cửa sổ trời vào thêm 70% đi xem	Close sunroof 70% 	Fermez 70% du toit ouvrant	Schließe das Schiebedach 70%	
	Đóng cửa sổ trời 75% vào đi	Please close sunroof 75% 	Fermez le toit ouvrant 75%	Schließe das Schiebedach 75%	
	Đóng cửa sổ trời vào 90% cho tôi	Shut the sunroof 90%	Pouvez-vous fermer le toit ouvrant  à 90%	Schließe das Schiebedach 90%	
	Đóng cửa sổ trời vào 100% cho tôi luôn giờ nhé	Close sunroof 100% 	Veuillez fermer le toit ouvrant ouvrant à 100% pour moi	Schließe das Schiebedach 100%	
	Đóng cửa sổ trời 10% đi	Close sunroof 10% 	Fermez le toit ouvrant à 10%	Schließe das Schiebedach 10%	
	Giúp tôi đóng cửa sổ trời vào 37%	Can you please close sunroof 37%	Fermez le toit ouvrant à 37%	Schließe das Schiebedach 37%	
	Cửa sổ trời đóng tầm 25%	Close sunroof around 25%	Fermez le toit ouvrant  à 25%	Schließe das Schiebedach 25%	
	Cửa sổ trời đóng khoảng 18% giúp mình	Close sunroof about 18% please	Fermez le toit ouvrant environ 18%	Schließe das Schiebedach circa 18%	
	Mở kính cửa sổ trời X %	Open sunroof glass X%		Öffne das Schiebedach X %	
	Mở kính cửa sổ trời 10%	open Sunroof glass 10% 		Öffne das Schiebedachglas 10%	
	Mở kính cửa sổ trời 50%	open Sunroof glass 50%		Öffne das Schiebedachglas 50%	
	Mở kính cửa sổ trời ra thêm 70% đi xem	open Sunroof glass 70% 		Ich möchte das Schiebedachglas 70% öffnen	
	Mở kính cửa sổ trời 75% ra đi	Please open Sunroof glass 75% 		Kannst du das Schiebedachglas öffnen	
	Mở kính cửa sổ trời 90% cho tôi	Make the Sunroof glass open 90%		Öffne das Schiebedachglas 90%	
	Mở kính cửa sổ trời ra 100% cho tôi luôn giờ nhé	open Sunroof glass 100% 		Öffne das Schiebedachglas 100%	
	Mở kính cửa sổ trời 10% đi	open Sunroof glass 10% 		Öffne das Schiebedachglas 0%	
	Giúp tôi mở kính cửa sổ trời ra 37%	Can you please open Sunroof glass 37%		Öffne das Schiebedachglas 37%	
	kính cửa sổ trời mở tầm 25%	open Sunroof glass around 25%		Öffne das Schiebedachglas 25%	
	kính cửa sổ trời mở khoảng 18% giúp mình	open Sunroof glass about 18% please		Öffne das Schiebedachglas circa 18%	
	Đóng kính cửa sổ trời X %	Close sunroof glass X%		Schließe das Schiebedachglas X %	
	Đóng kính cửa sổ trời 10%	Close sunroof glass 10% 		Schließe das Schiebedachglas 10%	
	Đóng kính cửa sổ trời 50%	Close sunroof glass 50%		Schließe das Schiebedachglas 50%	
	Đóng kính cửa sổ trời vào thêm 70% đi xem	Close sunroof glass 70% 		Schließe das Schiebedachglas 70%	
	Đóng kính cửa sổ trời 75% vào đi	Please close sunroof glass 75% 		Schließe das Schiebedachglas 75%	
	Đóng kính cửa sổ trời vào 90% cho tôi	Shut the sunroof glass 90%		Schließe das Schiebedachglas 90%	
	Đóng kính cửa sổ trời vào 100% cho tôi luôn giờ nhé	Close sunroof glass 100% 		Schließe das Schiebedachglas 100%	
	Đóng kính cửa sổ trời 10% đi	Close sunroof glass 10% 		Schließe das Schiebedachglas 10%	
	Giúp tôi đóng kính cửa sổ trời vào 37%	Can you please close sunroof glass 37%		Schließe das Schiebedachglas 37%	
	kính cửa sổ trời đóng tầm 25%	Close sunroof glass around 25%		Schließe das Schiebedachglas 25%	
	kính cửa sổ trời đóng khoảng 18% giúp mình	Close sunroof glass about 18% please		Schließe das Schiebedachglas circa 18%	
166	Mở rèm cửa sổ trời X %	Open sunroof shade/ blind 	Ouvrir le rideau de toit ouvrant à X%/ Ouvrir le rideau pare-soleil du toit ouvrant à X%	Öffne die Blende für das Schiebedach X%/ Machen die Blende für das Schiebedach X % auf	
	Mở rèm cửa sổ trời 10%	Open sunroof shade 10% 	Ouvrez le rideau de toit ouvrant à 10%	Öffne die Blende für das Schiebedach 10%	
	Mở rèm cửa sổ trời 50%	Leave sunroof blind open 50% 	Ouvrez le rideau de toit ouvrant à 50%	Machen die Blende für das Schiebedach 50% auf	
	Mở rèm cửa sổ trời vào thêm 70% đi xem	Open sunroof shade 70% 	Ouvrez 70% du rideau de toit ouvrant	Kannst du die Blende für das Schiebedach 70% aufmachen?	
	Mở rèm cửa sổ trời 75% vào đi	Open sunroof blind 75%	Ouvrez le rideau pare-soleil du toit ouvrant 75%	Kannst du die Blende für das Schiebedach 75% öffnen?	
	Mở rèm cửa sổ trời vào 90% cho tôi	Can you please open sunroof shade 90%	Pouvez-vous ouvrir le rideau du toit ouvrant  à 90%	Öffne die Blende für das Schiebedach 90%	
	Mở rèm cửa sổ trời vào 100% cho tôi luôn giờ nhé	Please open the sunroof shade100%  for me 	Veuillez ouvrir tout le rideau du toit ouvrant 	Öffne die Blende für das Schiebedach 100%	
	Mở rèm cửa sổ trời 10% đi	Open sunroof shade 0% 	Ouvrez le rideau pare-soleil du toit ouvrant à 10%	Öffne die Blende für das Schiebedach 10%	
	Giúp tôi mở rèm cửa sổ trời vào 37%	Please show the sunroof shade 37%	Ouvrez le rideau du toit ouvrant à 37%	Öffne die Blende für das Schiebedach 37%	
	rèm cửa sổ trời mở tầm 25%	Sunroof shade open about 25%	Ouvrez le rideau du toit ouvrant  à 25%	Öffne die Blende für das Schiebedach 25%	
	rèm cửa sổ trời mở khoảng 18% giúp mình	Open the sunroof bline about 18% please 	Ouvrez le rideau du toit ouvrant environ 18%	Öffne die Blende für das Schiebedach 18%	
167	Đóng rèm cửa sổ trời X %	Close sunroof shade/ blind 	Fermer le rideau de toit ouvrant à X%/ Fermer le rideau pare-soleil du toit ouvrant à X%	Machen die Blende um  X% zu/ Klapp die Blende X% herunter	
	Đóng rèm cửa sổ trời 10%	Close sunroof shade 10% 	Fermez le rideau de toit ouvrant à 10%	Klapp die Blende für das Schiebedach 10% herunter 	
	Đóng rèm cửa sổ trời 50%	Shut down sunroof blind 50% 	Fermez le rideau de toit ouvrant à 50%	Machen die Blende für das Schiebedach 50% zu	
	Đóng rèm cửa sổ trời vào thêm 70% đi xem	Close sunroof shade 70% 	Fermez 70% du rideau de toit ouvrant	Kannst du die Blende für das Schiebedach 70% zumachen?	
	Đóng rèm cửa sổ trời 75% vào đi	Close sunroof blind 75%	Fermez le rideau pare-soleil du toit ouvrant 75%	Kannst du die Blende für das Schiebedach 75% herunterklappen?	
	Đóng rèm cửa sổ trời vào 90% cho tôi	Can you please close sunroof shade 90%	Pouvez-vous fermer le rideau du toit ouvrant  à 90%	Machen die Blende für das Schiebedach 90% zu	
	Đóng rèm cửa sổ trời vào 100% cho tôi luôn giờ nhé	Please close the sunroof shade  100%  for me 	Veuillez fermer le rideau du toit ouvrant ouvrant à 100% pour moi	Machen die Blende für das Schiebedach 100% zu	
	Đóng rèm cửa sổ trời 10% đi	Close sunroof shade 0% 	Fermez le rideau pare-soleil du toit ouvrant à 10%	Machen die Blende für das Schiebedach 10% zu	
